file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00505_0209_1780520_to_1784547,འཇམ་དཔལ་དབྱངས་ཟེ་བྱས་ནས། ད་འོག་པ་ལ་དཔལ་སེ་བྲིས་པ་གཅིག་དང་། འཇམ་པའི་དབྱངས་སེ་བྱས་ནས།  ,'jam dpal dbyangs ze byas nas/_da 'og pa la dpal se bris pa gcig dang /_'jam pa'i dbyangs se byas nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00505_0209_1780520_to_1784547.wav,STT_TT,3,85,4.027,wav16k/STT_TT00505_0209_1780520_to_1784547.wav,འཇམ་དཔལ་དབྱངས་སེ་བྱས་ནས། ད་པ་ལ་དཔལ་ཟེ་དྲིས་པའི་ཕྱིར་དང། འཇམ་དཔའི་དབྱངས་སེ་བྱས་ནས།
STT_TT00478_0078_415286_to_417910,གཟུགས་ཡུལ་དུ་བྱེད་སྡོད་མྱི་གི་དབང་ཤེས། གཟུགས་ཡུལ་དུ་བྱེད་སྡོད་མྱི་གི་མིག་ཤེས།  ,gzugs yul du byed sdod myi gi dbang shes/_gzugs yul du byed sdod myi gi mig shes/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00478_0078_415286_to_417910.wav,STT_TT,3,79,2.624,wav16k/STT_TT00478_0078_415286_to_417910.wav,གཟུགས་ཡུལ་དུ་བྱེད་སྡོད་མྱི་གི་དབང་ཤེས། གཟུགས་ཡུལ་དུ་བྱེད་བསྡད་མྱི་གི་མིག་ཤེས།
STT_TT00533_0186_1321645_to_1327629,ཨེ་ནས། མཚམས་ཁང་འདྲ་བོ་གཅིག་བྱས་ནས་ད་གིན་གཞུང་ཁོ་རང་མར་ད། ད་གིན་གསུང་བ་ནང་བཞིན་མར་ས་ལམ་གི་གཞུང་ཡིན་ན་རེད།  ,e nas/_mtshams khang 'dra bo gcig byas nas da gin gzhung kho rang mar da/_da gin gsung ba nang bzhin mar sa lam gi gzhung yin na red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00533_0186_1321645_to_1327629.wav,STT_TT,3,106,5.984,wav16k/STT_TT00533_0186_1321645_to_1327629.wav,ཨེ་ནས། འཚམ་བོ་འདྲ་བོ་ཅིག་བྱས་ནས། ད་གི་གཞུང་ཁོ་རང་མར། ད་ད་གིན་གསུངས་བ་ནང་བཞིན་མར་ས་ལམ་གི་གཞུང་ཡིན་ན་རེད།
STT_TT00492_0050_262566_to_265606,སངས་རྒྱས་ཀི་ཅིག་སྐུའི་ལོག་ནས། ན་བཟའ་དེ་འདྲ་མར་བཤུས་བྱས།  ,sangs rgyas ki cig sku'i log nas/_na bza' de 'dra mar bshus byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00492_0050_262566_to_265606.wav,STT_TT,3,57,3.04,wav16k/STT_TT00492_0050_262566_to_265606.wav,སངས་རྒྱས་ཀི་ཅིག་སྐུའི་ལེན་ནས་ན་བཟའ་དེ་འདྲས་མར་བཤུས་བྱས།
STT_TT00500_0085_466494_to_468862,དེ་འདྲའི་མ་གཏོགས། དཔེར་ན་ང་ཚོ་རྒྱ་ནག་གི་ནང་ཟོལ་འདྲ་དང་། ཕྱི་རྒྱལ་གི་ཟོལ་འདྲའི་ ,de 'dra'i ma gtogs/_dper na nga tsho rgya nag gi nang zol 'dra dang /_phyi rgyal gi zol 'dra'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00500_0085_466494_to_468862.wav,STT_TT,3,79,2.368,wav16k/STT_TT00500_0085_466494_to_468862.wav,དེ་འདྲས་མ་གཏོགས། དཔེར་ན་ ང་ཚོ་རྒྱ་ནག་གི་ནང་གི་ཟོལ་འདྲས་དང་། ཕྱི་རྒྱལ་གི་ཟོལ་འདྲས་
STT_TT00505_0241_2033438_to_2035503,སྔགས་སྡོམ་མ་ཉམས་པ་རྒྱུད་ལ་ཡོད་པ་དེ་སྲིད་དུ།  ,sngags sdom ma nyams pa rgyud la yod pa de srid du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00505_0241_2033438_to_2035503.wav,STT_TT,3,45,2.065,wav16k/STT_TT00505_0241_2033438_to_2035503.wav,སྔགས་སྡོམ་མ་ཉམས་པ་རྒྱུད་ལ་ཡོད་པ་དེ་སྲིད་དུ།
STT_NS_M0026_0396_2643730_to_2648877,ཨེ་ནས་ད་གཟའ་ཉི་མའི་སྐབས་སུ་ཕ་མ་འདི་ཚོ་དང་ནང་མི་འདི་ཚོ་ལ་ཁ་པར་བཏང་ཡ་འདྲ་བོ། ཨེ་ནས།  ,e nas da gza' nyi ma'i skabs su pha ma 'di tsho dang nang mi 'di tsho la kha par btang ya 'dra bo/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0026_0396_2643730_to_2648877.wav,STT_NS,3,83,5.147,wav16k/STT_NS_M0026_0396_2643730_to_2648877.wav,ཨེ་ནས་ད་གཟའ་ཉི་མ་སྐབས་སུ་ཕ་མ་དེ་ཚོ་དང་ནང་མི་དེ་ཚོ་ལ་ཁ་པར་གཏང་ཡ་འདྲ་བོ། ཨེ་ནས།
STT_TT00611_0032_277841_to_282875,སངས་རྒྱས་གི་ཆོས་སྤྱི་དང་ལྷག་པར་ན་ལེནྡྲའི་ཆོས་བརྒྱུད་དེ་ད། བོད་ལ་ཧ་ལས་པ་ཅིག་རེད་ཤག ,sangs rgyas gi chos spyi dang lhag par na len+d+ra'i chos brgyud de da/_bod la ha las pa cig red shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00611_0032_277841_to_282875.wav,STT_TT,3,82,5.034,wav16k/STT_TT00611_0032_277841_to_282875.wav,སངས་རྒྱས་ཀི་ཆོས་སྤྱི་དང་། ལྷག་པར་ན་ལེནྡྲའི་ཆོས་བརྒྱུད་དེ་ད། བོད་ལ་ཧ་ལས་པ་ཅིག་རེད་ཤག
STT_TT00543_0629_4275243_to_4278763,ད་འོ་ན་རྗེ་བདག་ཉིད་ཆེན་པོའི་གསུང་ནང་ལ་མཚན་ཉིད་པ་མིན་པ་ལྟ་བུར་གསུངས་པ་དེ་ག་རེ་ཟེར་ན།  ,da 'o na rje bdag nyid chen po'i gsung nang la mtshan nyid pa min pa lta bur gsungs pa de ga re zer na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00543_0629_4275243_to_4278763.wav,STT_TT,3,85,3.52,wav16k/STT_TT00543_0629_4275243_to_4278763.wav,ད་འོ་ན། རྗེ་བདག་ཉིད་ཆེན་པོའི་གསུང་ནང་ལ། མཚན་ཉིད་པ་མིན་པ་ལྟ་བུ་གསུངས་བ་དེ་ ག་རེ་ཟེར་ན།
STT_NS_M0022_0092_827347_to_836557,འདི་ཚང་མ་ལ་འོ་ཨེ་འདྲའི་བྱེད་ཀི་རེད། སེམས་ཅན་གྱི་ཚང་མ་ནང་ད་སེམས་ཅན་ཚང་མ་ལ་སཱར་ཝི་སི་བྱེད་ཐུབ་ཡ་ཡོད་མ་རེད། ཨོ། དུས་ཚོད་ཡོད་མ་རེད། པག་ཡོད་མ་རེད། ཨེ་ནས་སེམས་ཅན་ནང་ནས་ར་གཅིག། ལུག་གཅིག་ཨེ་ནས་ང་ཚོ་རྟ་ཡོད་ན་རྟ། ཨེ་ནས།  ,'di tshang ma la 'o e 'dra'i byed ki red/_sems can gyi tshang ma nang da sems can tshang ma la sAr wi si byed thub ya yod ma red/_o/_dus tshod yod ma red/_pag yod ma red/_e nas sems can nang nas ra gcig/_lug gcig e nas nga tsho rta yod na rta/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0022_0092_827347_to_836557.wav,STT_NS,3,211,9.21,wav16k/STT_NS_M0022_0092_827347_to_836557.wav,ཚང་མ་ལ་ོ་ཨེ་འདྲའི་བྱེད་ཀི་རེད། སེམས་ཅན་གི་ཚང་མ་ན་ནས་ད་བསམ་ཚུ་ཚང་མ་བྱེད་སྤྲད་ཡ་ཡོད་མ་རཱེ། །དུས་ཚོད་ཡོད་མ་རེད་སྤག་ཡོད་མ་རེད། ཨེ་ནས་སེམས་ཅན་ནང་ནས་ར་གཅིག་ལུག་གཅིག་ཨེ་ནས་ང་ཚོ་རྟ་ཡོད་ན་རྟ་ ཨེ་ནས།
